Number of Cities,Total Length,Time (s)
10,427.3419300685523,0.0
10,246.34708945994703,0.0
10,281.0385118091142,0.0
10,343.92778072317407,0.0
10,277.82773106212636,0.0
10,372.3200249037419,0.0
10,312.7584591345487,0.0
10,298.57420040547737,0.0
10,298.655867571033,0.0
10,323.93013272345434,0.0
10,271.4257164907896,0.0
10,285.79482499051835,0.0
10,327.919997820364,0.0
10,253.358472982757,0.0
10,332.0776001445903,0.0
10,281.67050501188186,0.0
10,245.28700336363795,0.0
10,313.9034786847442,0.0
10,339.0590517136025,0.0
10,292.1760638047211,0.0
10,295.52041988291626,0.0
10,292.2993131375084,0.0
10,277.7817573018134,0.0
10,328.7940261485686,0.0
10,312.26797351792334,0.0
10,275.08179275523236,0.0
10,337.5678789026694,0.0
10,334.3400304371072,0.0
10,335.4179568718147,0.0
10,301.244146233625,0.0
10,234.53580493945952,0.0
10,293.927265729796,0.0
10,316.44469142599195,0.0
10,350.1592392265853,0.0
10,295.520812159914,0.0
10,330.4602568340829,0.0
10,340.0539221237635,0.0
10,402.23308573614065,0.0
10,397.95432598650336,0.0
10,320.8073217908734,0.0
10,283.2835722108123,0.0
10,253.1174448106008,0.0
10,439.15029196904493,0.0
10,314.70896504797594,0.0
10,378.2539239207052,0.0
10,305.9456124819624,0.0
10,244.54633767998308,0.0
10,374.794875681768,0.0
10,270.0634845013917,0.0
10,284.2049718220965,0.0
10,300.65806668437034,0.0
10,326.91367618861915,0.0
10,301.813181058327,0.0
10,263.2198940378803,0.0
10,342.59597339277167,0.0
10,305.6139660473816,0.0
10,298.7815834605452,0.0
10,318.6240584851389,0.0
10,294.5015729168805,0.0
10,325.86572140373715,0.0
10,253.12914679574823,0.0
10,318.84674089660103,0.0
10,338.82211521707814,0.0
10,272.77961763165433,0.0
10,358.74568539705547,0.0
10,359.02382713779406,0.0
10,315.85132604533806,0.0
10,350.02665737830057,0.0
10,244.1010791689929,0.0
10,296.70030434894767,0.0
10,334.5461568948508,0.0
10,395.1659861740269,0.0
10,346.3023246325006,0.0
10,315.07725798094725,0.0
10,280.27281221143585,0.0
10,333.1177372379912,0.0
10,416.7540061870904,0.0
10,296.6687277420936,0.0
10,303.2257655027451,0.0
10,313.760999932386,0.0
10,259.0569565047285,0.0
10,271.5207008565791,0.0
10,331.96980786610334,0.0
10,262.6482292383606,0.0
10,333.18607882614685,0.0
10,340.1558450530591,0.0
10,274.0320862395303,0.0
10,361.45274730946494,0.0
10,239.58534730515407,0.0
10,288.5348352159904,0.0
10,318.5919639237054,0.0
10,289.7343331705974,0.0
10,335.7951367546261,0.0
10,329.2119218244959,0.0
10,288.0488765991805,0.0
10,259.41571544514863,0.0
10,332.1982690750466,0.0
10,290.9596308023617,0.0
10,277.91154714742527,0.0
10,280.84210512824853,0.0
11,253.26033436866487,0.0
11,331.07107917211755,0.0
11,358.79643259493093,0.0
11,365.8502825865485,0.0
11,387.2133447574362,0.0
11,368.1636250374761,0.0
11,343.62373177657804,0.0
11,296.0065347203854,0.0
11,300.8327221149333,0.0
11,281.1600253570026,0.0
11,301.25858675713675,0.0
11,336.27620465100347,0.0
11,270.3766348354688,0.0
11,392.5874247658255,0.0
11,348.41278818309956,0.0
11,314.19765696105145,0.0
11,327.6309759009297,0.0
11,307.1889611586728,0.0
11,360.5006622385635,0.0
11,310.70719485901174,0.0
11,276.3864119262265,0.0
11,409.4754940306299,0.0
11,268.38649575062374,0.0
11,308.17771898876686,0.0
11,310.35498868876823,0.0
11,287.95360539973154,0.0
11,369.5440947611996,0.0
11,364.8455670470196,0.0
11,315.9686348102391,0.0
11,331.16179466193296,0.0
11,309.2062825557564,0.0
11,343.14615323001726,0.0
11,291.1809212484989,0.0
11,378.6482500713794,0.0
11,336.4587556519403,0.0
11,262.1003173291525,0.0
11,367.44941688787645,0.0
11,308.909827635396,0.0
11,360.15026332924606,0.0
11,359.5330496696313,0.0
11,279.337301053017,0.0
11,361.74385990720583,0.0
