Number of Cities,Total Length,Time (s)
10,305.38547023075085,0.6023151874542236
11,319.86990403111605,0.46419858932495117
12,363.16856527376274,0.5266547203063965
13,395.20477825603194,0.1736164093017578
14,463.1277656773497,0.5589025020599365
15,457.2753031321203,0.5945515632629395
16,500.6646879676759,0.7595629692077637
17,538.7735395807466,0.20430922508239746
18,546.3356284363733,0.1419367790222168
19,587.9445647893635,0.9006874561309814
20,699.7651467995897,0.8727777004241943
21,697.1383649711436,0.19748568534851074
22,636.7163583860124,1.1458086967468262
23,680.5961258668552,0.1543874740600586
24,760.7739279440846,0.1342020034790039
25,841.098193513488,0.36163902282714844
26,765.620272471086,0.15625643730163574
27,886.836267487649,0.12316322326660156
28,879.263172299058,0.21311211585998535
29,897.749337107232,0.29026103019714355
30,877.7015937924637,0.20934534072875977
31,958.104344336053,0.16142845153808594
32,1169.9447871814277,0.35149550437927246
33,1093.844587497757,0.16750073432922363
34,1165.6847610224547,0.22134137153625488
35,1207.578122186183,0.2123277187347412
36,1092.2605037443036,5.65670919418335
37,1143.0943173210937,1.1660754680633545
38,1235.1410353029917,4.229831695556641
39,1323.3257578085888,0.9462206363677979
40,1267.0764364281315,14.442733764648438
41,1298.24530135944,1.5350778102874756
42,1477.23122522177,3.9531753063201904
43,1470.4604423283256,13.22006368637085
44,1459.6026824517141,24.41219472885132
45,1605.2254170202903,4.531544208526611
46,1310.2315324876909,6.020915985107422
47,1489.850035458668,35.23039150238037
48,1470.8570439227376,4.401228904724121
49,1717.4007358684328,3.983506202697754
50,1775.868479504353,6.452177286148071
51,1689.2132644655733,6.445237398147583
52,1546.8137708450106,8.832868814468384
53,1763.9330750736622,5.4624528884887695
54,1853.6558849332362,2.8054349422454834
55,1638.201819005848,3.183590888977051
56,1806.7820074394474,1.8382923603057861
57,2015.4739949420573,1.97698974609375
58,1890.1731648856162,2.2550251483917236
59,2003.162367176906,12.678935766220093
60,2070.5787088974957,5.9324867725372314
61,1956.0884559641097,2.5886967182159424
62,2060.8726330624095,3.4438974857330322
63,2216.2318869107944,8.970515966415405
64,2054.1090727366986,10.562915086746216
65,2163.4463723803287,2.900312900543213
66,2375.0539971395597,2.284916877746582
67,2162.6658812314404,9.140222311019897
68,2092.966014424516,1.7235164642333984
69,2177.078509354467,10.557294845581055
70,2114.540651052129,2.7269370555877686
71,2343.5635709467792,13.247837781906128
72,2290.7871186635316,1.6353859901428223
73,2554.6909325563915,2.978626251220703
74,2696.516243716895,2.3490195274353027
75,2449.010644539128,3.7140791416168213
76,2596.4587864401865,10.414445638656616
77,2544.252505757031,1.9567947387695312
78,2680.9083840765766,6.1800856590271
79,2982.011062245278,3.0636768341064453
80,2733.931383094841,3.3374879360198975
81,2912.545205433084,8.877216100692749
82,2897.746571165377,4.10615086555481
83,2839.4284578208853,2.475247621536255
84,2799.737919288202,4.689411640167236
85,2714.4347325546746,8.051501035690308
86,3067.110962984928,19.212549924850464
87,2654.5024664467423,2.9738330841064453
88,3373.905901131019,18.8305561542511
89,3180.8125879836784,3.9890213012695312
90,3005.4617445530507,2.3742425441741943
91,3286.072284594192,3.4650866985321045
92,3302.555305596711,6.754844427108765
93,3312.4138142424767,5.19590163230896
94,3138.408541995216,14.00345230102539
95,3412.1935242230925,7.276023864746094
96,3284.4278750913363,14.34261965751648
97,3182.6454819881783,3.870431423187256
98,3598.7857753831836,3.2809133529663086
99,3422.3674319590673,3.9427988529205322
100,3539.038788889257,3.493208646774292
